392,EIP5301,20220301 8:00
448,EIP5301,20220301 10:00
448,EIC5201,20220301 10:00
448,EIC5201,20220301 12:00
504,IC5101,20220301 12:00
560,IC5101,20220301 14:00
392,TLK83001,20220301 14:00
336,TLK83001,20220301 16:00
336,EIP5301,20220302 8:00
336,EIP5301,20220302 10:00
560,EIC5201,20220302 10:00
560,EIC5201,20220302 12:00
336,IC5101,20220302 12:00
504,IC5101,20220302 14:00
392,TLK83001,20220302 14:00
392,TLK83001,20220302 16:00
448,EIP5301,20220303 8:00
336,EIP5301,20220303 10:00
336,EIC5201,20220303 10:00
336,EIC5201,20220303 12:00
504,IC5101,20220303 12:00
448,IC5101,20220303 14:00
336,TLK83001,20220303 14:00
392,TLK83001,20220303 16:00
504,EIP5301,20220304 8:00
336,EIP5301,20220304 10:00
336,EIC5201,20220304 10:00
560,EIC5201,20220304 12:00
448,IC5101,20220304 12:00
504,IC5101,20220304 14:00
336,TLK83001,20220304 14:00
448,TLK83001,20220304 16:00
336,EIP5301,20220305 8:00
336,EIP5301,20220305 10:00
560,EIC5201,20220305 10:00
504,EIC5201,20220305 12:00
392,IC5101,20220305 12:00
448,IC5101,20220305 14:00
392,TLK83001,20220305 14:00
392,TLK83001,20220305 16:00
448,EIP5301,20220306 8:00
448,EIP5301,20220306 10:00
448,EIC5201,20220306 10:00
504,EIC5201,20220306 12:00
504,IC5101,20220306 12:00
392,IC5101,20220306 14:00
336,TLK83001,20220306 14:00
504,TLK83001,20220306 16:00
448,EIP5301,20220307 8:00
560,EIP5301,20220307 10:00
448,EIC5201,20220307 10:00
448,EIC5201,20220307 12:00
336,IC5101,20220307 12:00
504,IC5101,20220307 14:00
504,TLK83001,20220307 14:00
336,TLK83001,20220307 16:00
504,EIP5301,20220308 8:00
560,EIP5301,20220308 10:00
392,EIC5201,20220308 10:00
448,EIC5201,20220308 12:00
560,IC5101,20220308 12:00
336,IC5101,20220308 14:00
336,TLK83001,20220308 14:00
392,TLK83001,20220308 16:00
448,EIP5301,20220309 8:00
560,EIP5301,20220309 10:00
392,EIC5201,20220309 10:00
504,EIC5201,20220309 12:00
560,IC5101,20220309 12:00
448,IC5101,20220309 14:00
392,TLK83001,20220309 14:00
560,TLK83001,20220309 16:00
336,EIP5301,20220310 8:00
392,EIP5301,20220310 10:00
392,EIC5201,20220310 10:00
504,EIC5201,20220310 12:00
448,IC5101,20220310 12:00
336,IC5101,20220310 14:00
336,TLK83001,20220310 14:00
392,TLK83001,20220310 16:00
560,EIP5301,20220311 8:00
448,EIP5301,20220311 10:00
560,EIC5201,20220311 10:00
336,EIC5201,20220311 12:00
392,IC5101,20220311 12:00
448,IC5101,20220311 14:00
504,TLK83001,20220311 14:00
336,TLK83001,20220311 16:00
392,EIP5301,20220312 8:00
504,EIP5301,20220312 10:00
448,EIC5201,20220312 10:00
336,EIC5201,20220312 12:00
392,IC5101,20220312 12:00
336,IC5101,20220312 14:00
504,TLK83001,20220312 14:00
560,TLK83001,20220312 16:00
392,EIP5301,20220313 8:00
448,EIP5301,20220313 10:00
392,EIC5201,20220313 10:00
504,EIC5201,20220313 12:00
392,IC5101,20220313 12:00
448,IC5101,20220313 14:00
504,TLK83001,20220313 14:00
392,TLK83001,20220313 16:00
560,EIP5301,20220314 8:00
448,EIP5301,20220314 10:00
448,EIC5201,20220314 10:00
560,EIC5201,20220314 12:00
560,IC5101,20220314 12:00
504,IC5101,20220314 14:00
392,TLK83001,20220314 14:00
392,TLK83001,20220314 16:00
336,EIP5301,20220315 8:00
448,EIP5301,20220315 10:00
392,EIC5201,20220315 10:00
560,EIC5201,20220315 12:00
560,IC5101,20220315 12:00
560,IC5101,20220315 14:00
448,TLK83001,20220315 14:00
448,TLK83001,20220315 16:00
504,EIP5301,20220316 8:00
448,EIP5301,20220316 10:00
336,EIC5201,20220316 10:00
560,EIC5201,20220316 12:00
448,IC5101,20220316 12:00
448,IC5101,20220316 14:00
560,TLK83001,20220316 14:00
448,TLK83001,20220316 16:00
448,EIP5301,20220317 8:00
392,EIP5301,20220317 10:00
336,EIC5201,20220317 10:00
336,EIC5201,20220317 12:00
392,IC5101,20220317 12:00
448,IC5101,20220317 14:00
392,TLK83001,20220317 14:00
560,TLK83001,20220317 16:00
504,EIP5301,20220318 8:00
392,EIP5301,20220318 10:00
560,EIC5201,20220318 10:00
560,EIC5201,20220318 12:00
448,IC5101,20220318 12:00
448,IC5101,20220318 14:00
336,TLK83001,20220318 14:00
504,TLK83001,20220318 16:00
560,EIP5302,20220301 8:00
560,EIP5302,20220301 10:00
560,EIC5202,20220301 10:00
560,EIC5202,20220301 12:00
392,IC5102,20220301 12:00
392,IC5102,20220301 14:00
560,TLK83002,20220301 14:00
560,TLK83002,20220301 16:00
392,EIP5302,20220302 8:00
392,EIP5302,20220302 10:00
448,EIC5202,20220302 10:00
504,EIC5202,20220302 12:00
392,IC5102,20220302 12:00
448,IC5102,20220302 14:00
560,TLK83002,20220302 14:00
392,TLK83002,20220302 16:00
504,EIP5302,20220303 8:00
560,EIP5302,20220303 10:00
560,EIC5202,20220303 10:00
560,EIC5202,20220303 12:00
392,IC5102,20220303 12:00
448,IC5102,20220303 14:00
504,TLK83002,20220303 14:00
392,TLK83002,20220303 16:00
336,EIP5302,20220304 8:00
504,EIP5302,20220304 10:00
504,EIC5202,20220304 10:00
504,EIC5202,20220304 12:00
448,IC5102,20220304 12:00
560,IC5102,20220304 14:00
392,TLK83002,20220304 14:00
560,TLK83002,20220304 16:00
560,EIP5302,20220305 8:00
448,EIP5302,20220305 10:00
504,EIC5202,20220305 10:00
336,EIC5202,20220305 12:00
392,IC5102,20220305 12:00
504,IC5102,20220305 14:00
448,TLK83002,20220305 14:00
504,TLK83002,20220305 16:00
560,EIP5302,20220306 8:00
392,EIP5302,20220306 10:00
392,EIC5202,20220306 10:00
560,EIC5202,20220306 12:00
336,IC5102,20220306 12:00
448,IC5102,20220306 14:00
336,TLK83002,20220306 14:00
504,TLK83002,20220306 16:00
336,EIP5302,20220307 8:00
560,EIP5302,20220307 10:00
448,EIC5202,20220307 10:00
392,EIC5202,20220307 12:00
504,IC5102,20220307 12:00
560,IC5102,20220307 14:00
336,TLK83002,20220307 14:00
448,TLK83002,20220307 16:00
504,EIP5302,20220308 8:00
504,EIP5302,20220308 10:00
448,EIC5202,20220308 10:00
392,EIC5202,20220308 12:00
560,IC5102,20220308 12:00
